"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"128","48665187","Twitter","http://t.co/ihlYYfxyER http://t.co/kmTGZvcgZb","2015-04-07 16:50:34Z","http://twitter.com/RandPaul/status/585484823273336832","[]","[]","[]","[]","[]",797,4088,566103,NA,2,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"129","48665313","Twitter","http://t.co/ihlYYfxyER http://t.co/FMoUVIBq3T","2015-04-07 16:54:15Z","http://twitter.com/RandPaul/status/585485749119803395","[]","[]","[]","[]","[]",449,691,566247,NA,2,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"130","48665885","Twitter","Today I announce my candidacy for President of the United States! Join with us at http://t.co/lpzLQCfz0F http://t.co/5Lf3JQKl6S","2015-04-07 17:04:54Z","http://twitter.com/RandPaul/status/585488432903880704","[candidacy;today]","[]","[President of the United States]","[United States]","[]",567,606,566642,NA,17,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"131","48665905","Twitter","Today I announce my candidacy for President of the United States! Join with us at http://t.co/lpzLQCfz0F http://t.co/BmtOTXDLlR","2015-04-07 17:05:14Z","http://twitter.com/RandPaul/status/585488516290895876","[candidacy;today]","[]","[President of the United States]","[United States]","[]",2111,2220,566651,NA,17,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"132","48666645","Twitter","RT @RBentley1776: #StandWithRand http://t.co/tA3MbuB5Pf","2015-04-07 17:19:58Z","http://twitter.com/RandPaul/status/585492223183192064","[#StandWithRand]","[]","[]","[]","[]",0,24,567063,NA,4,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"133","48667339","Twitter","Join us from wherever you are this week by tweeting us a photo with this print out (https://t.co/pT9IpZC5JQ) using #standwithrand","2015-04-07 17:33:32Z","http://twitter.com/RandPaul/status/585495636583325697","[photo;print;#StandWithRand]","[]","[]","[]","[]",187,453,567319,NA,20,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"134","48667635","Twitter","RT @buckmandrew: @randpaul16 #StandWithRand #liberty http://t.co/JUn9h3G3R1","2015-04-07 17:39:04Z","http://twitter.com/RandPaul/status/585497028131692544","[#liberty;#StandWithRand]","[]","[]","[]","[]",0,38,567420,NA,6,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"135","48667981","Twitter","RT @Love_Peace_Dest: #StandWithRand @randpaul http://t.co/LyeDTe7wc9","2015-04-07 17:45:41Z","http://twitter.com/RandPaul/status/585498694939709440","[#StandWithRand]","[]","[]","[]","[]",0,46,567519,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"136","48668915","Twitter","Thanks to Krista Maas from Everson, Washington for being a donor to our money bomb! Please donate here>>> http://t.co/ihlYYfxyER","2015-04-07 17:58:45Z","http://twitter.com/RandPaul/status/585501984364593152","[bomb;donor;money bomb]","[]","[]","[Washington;Everson]","[]",262,391,567735,NA,19,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"137","48670705","Twitter","Graphic designer? Get involved right now by download high quality logo and making art. Tweet us after>> https://t.co/58EOcNkyhP  #rand2016","2015-04-07 18:14:42Z","http://twitter.com/RandPaul/status/585505995893407744","[designer;logo;high quality;#Rand2016]","[]","[]","[]","[]",197,333,567992,NA,19,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"138","48672781","Twitter","RT @bchaffin25: I #StandWithRand http://t.co/uCeoxpvElr","2015-04-07 18:29:59Z","http://twitter.com/RandPaul/status/585509843647205376","[#StandWithRand]","[]","[]","[]","[]",0,12,568188,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"139","48672895","Twitter","RT @earichardson89: #StandWithRand http://t.co/Q8d4jkJmHG","2015-04-07 18:30:56Z","http://twitter.com/RandPaul/status/585510081946636290","[#StandWithRand]","[]","[]","[]","[]",0,15,568203,NA,4,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"140","48674249","Twitter","I'll be answering questions shortly on Facebook here: https://t.co/43K1g96Pe1","2015-04-07 18:43:47Z","http://twitter.com/RandPaul/status/585513315104882688","[questions]","[]","[]","[]","[]",236,204,568340,NA,9,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"141","48674609","Twitter","Answering questions from you now on Facebook>>> https://t.co/43K1g96Pe1 http://t.co/iUJegEXbvm","2015-04-07 18:47:12Z","http://twitter.com/RandPaul/status/585514177038520321","[questions]","[]","[]","[]","[]",180,219,568374,NA,9,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"142","48676801","Twitter","RT @Rbalmer85: #StandWithRand http://t.co/y709BvukCJ","2015-04-07 19:02:53Z","http://twitter.com/RandPaul/status/585518122456719361","[#StandWithRand]","[]","[]","[]","[]",0,25,568545,NA,4,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"143","48679181","Twitter","RT @tyrusjones19: #StandWithRand @RandPaul http://t.co/CIEWykvVMM","2015-04-07 19:13:02Z","http://twitter.com/RandPaul/status/585520677358272512","[#StandWithRand]","[]","[]","[]","[]",0,19,568627,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"144","48680947","Twitter","Download yours here >> http://t.co/TE9NkWtbZh  https://t.co/RPBr43ui8E","2015-04-07 19:30:31Z","http://twitter.com/RandPaul/status/585525077728428035","[]","[]","[]","[]","[]",155,317,568803,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"145","48683355","Twitter","Please RETWEET if I have your support! http://t.co/ihlYYfP9wp https://t.co/VQAA0uMcbN","2015-04-07 20:11:39Z","http://twitter.com/RandPaul/status/585535427492192256","[support]","[]","[]","[]","[]",767,1853,569157,NA,9,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"146","48683695","Twitter","RT @Mr_Liberty76: @RandPaul #StandWithRand http://t.co/DuqRHEBb64","2015-04-07 20:18:00Z","http://twitter.com/RandPaul/status/585537024779759617","[#StandWithRand]","[]","[]","[]","[]",0,21,569212,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"147","48683717","Twitter","RT @Crystilyn: From Texas","2015-04-07 20:18:39Z","http://twitter.com/RandPaul/status/585537189263605760","[]","[]","[]","[Texas]","[]",0,31,569214,NA,4,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"148","48684813","Twitter","RT @jellyeater: #StandWithRand @RandPaul http://t.co/RxraTOyIYW","2015-04-07 20:25:29Z","http://twitter.com/RandPaul/status/585538910723379203","[#StandWithRand]","[]","[]","[]","[]",0,17,569273,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"149","48685311","Twitter","$20.16 for your own campaign inspired eye chart. Get yours>>> https://t.co/73yJhWygkx http://t.co/5LIGo8nsSK","2015-04-07 20:29:39Z","http://twitter.com/RandPaul/status/585539956417892353","[eye;chart;eye chart]","[]","[]","[]","[]",324,494,569289,NA,12,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"150","48688347","Twitter","RT @thehill: When an ophthalmologist runs for president: http://t.co/XXFqg5XTxT http://t.co/W6nP5XlFUI","2015-04-07 20:45:31Z","http://twitter.com/RandPaul/status/585543951463100421","[president;ophthalmologist]","[]","[]","[]","[]",0,257,569382,NA,10,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"151","48689561","Twitter","RT @c_brad_hughes: @RandPaul bring on 2016... Because I #StandWithRand http://t.co/CdMFy55v0o","2015-04-07 21:07:23Z","http://twitter.com/RandPaul/status/585549452309561345","[#StandWithRand]","[]","[]","[]","[]",0,23,569559,NA,10,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"152","48689635","Twitter","Photos across the country of people tweeting #standwithrand with this image >>https://t.co/pT9IpZC5JQ. Please keep them coming!","2015-04-07 21:09:18Z","http://twitter.com/RandPaul/status/585549935111700484","[photos;image;#StandWithRand;country of people]","[]","[]","[]","[]",269,200,569565,NA,15,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"154","48693857","Twitter","RT @StewNumber2: @RandPaul announced that he is running for President today. Bring on 2016! I #StandWithRand http://t.co/OQysQpAL7j","2015-04-07 21:58:46Z","http://twitter.com/RandPaul/status/585562386582663168","[today;#StandWithRand]","[]","[]","[]","[]",0,38,569883,NA,17,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"155","48694303","Twitter","RT @imjosephbarnas: I #StandWithRand #RAND2016 @RandPaul http://t.co/KIxcLBAfpS","2015-04-07 22:09:14Z","http://twitter.com/RandPaul/status/585565020588769280","[#StandWithRand;#Rand2016]","[]","[]","[]","[]",0,17,569932,NA,7,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"156","48694319","Twitter","RT @G8Rtx: #StandWithRand @RandPaul http://t.co/NRuMWRHKu4","2015-04-07 22:09:55Z","http://twitter.com/RandPaul/status/585565190017671169","[#StandWithRand]","[]","[]","[]","[]",0,14,569935,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"157","48694645","Twitter","RT @pretoncope: First time voter and I will #StandWithRand @RandPaul http://t.co/kAlXN3BidQ","2015-04-07 22:18:15Z","http://twitter.com/RandPaul/status/585567286309822465","[voter;#StandWithRand]","[]","[]","[]","[]",0,41,569955,NA,11,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"158","48694867","Twitter","RT @FLMilitiaOfOne: @RandPaul First time voter here and I plan to #StandWithRand http://t.co/lvFRzxizcO","2015-04-07 22:25:04Z","http://twitter.com/RandPaul/status/585569003449544705","[voter;#StandWithRand]","[]","[]","[]","[]",0,36,569984,NA,13,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"159","48694985","Twitter","RT @guyinthedesert: I #StandWithRand from #la @randpaul #2016 #presidentialcampaign http://t.co/ZUedAi7F58","2015-04-07 22:29:02Z","http://twitter.com/RandPaul/status/585570001618362371","[#LA;#2016;#StandWithRand]","[]","[]","[]","[]",0,13,570001,NA,10,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"160","48695353","Twitter","Some of the best #StandWithRand submissions! Download yours and share it with us >>> http://t.co/TE9NkWtbZh http://t.co/NVfjrZQRyD","2015-04-07 22:42:38Z","http://twitter.com/RandPaul/status/585573426196254720","[submissions;#StandWithRand]","[]","[]","[]","[]",173,418,570043,NA,15,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"161","48695375","Twitter","I hope you tune in for the full hour of @seanhannity tonight at 10pm on @FoxNews. A great discussion! http://t.co/zD5kzkmSVZ","2015-04-07 22:43:09Z","http://twitter.com/RandPaul/status/585573554369994752","[tonight;discussion;full hour;great discussion]","[]","[]","[]","[]",430,282,570049,NA,20,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"162","48695499","Twitter","RT @D_BergmanTweets: ⬅️ I'm a Jewish, libertarian, millennial and I'm voting for @RandPaul!","2015-04-07 22:47:39Z","http://twitter.com/RandPaul/status/585574689017372672","[]","[]","[]","[]","[]",0,43,570063,NA,12,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"163","48695749","Twitter","RT @StephenGilbert3: First Time Voter and I plan to #StandWithRand #RandPaul2016 http://t.co/a2dRCAyBMA","2015-04-07 22:56:22Z","http://twitter.com/RandPaul/status/585576881673609219","[#StandWithRand;#RandPaul2016]","[]","[]","[]","[]",0,22,570111,NA,12,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"164","48695761","Twitter","RT @eschwartz99: I #StandWithRand @RandPaul http://t.co/cUp01DU23G","2015-04-07 22:56:34Z","http://twitter.com/RandPaul/status/585576932680540160","[#StandWithRand]","[]","[]","[]","[]",0,16,570112,NA,6,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"165","48696129","Twitter","Please Retweet! http://t.co/ihlYYfxyER http://t.co/Fq5e46xoOf","2015-04-07 23:06:32Z","http://twitter.com/RandPaul/status/585579439842578432","[]","[]","[]","[]","[]",642,1909,570164,NA,4,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
